"","Title","Date","User","Body","Rating","Show"
"11","The hosts are drinking their own koolaid",2019-03-26,"Terrance Hall","Given how much misinformation this podcast peddled concerning the mueller report, I am walking away.",1,"Politics"
"12","Great podcast",2019-03-27,"GZ1226","My favorite politics podcast, hands down",5,"Politics"
"13","Best podcast ever",2019-03-27,"ryan3747484","Look forward to an npr politics podcast after any political event. I love the cast, I feel like I know them 😂",5,"Politics"
"14","Way too biased",2019-03-28,"b69mach1","Way too biased to the left and wrong like the rest of the media. They shouldn’t get any public funding.",1,"Politics"
"15","Look forward to this!",2019-03-29,"Eaglefox20","Well crafted pod tackling today’s issues. Balanced middle of the road approach. Highly recommended!",5,"Politics"
"16","Nothing burger",2019-03-29,"Keen33","I can’t stand Trump, but for years they lied about the president with no evidence, because they know they can get away with it. Biased liars who deserve the same sympathy they give, none.",1,"Politics"
"17","Politics Gossip",2019-03-31,"Willow0129","This feels SOO gossipy. I wish there was more reporting on what candidates are saying/doing instead of how they appear to you. Tell us about ALL of them, without patronizing anyone. I don’t care how popular or unpopular they seem to be. I want to hear more about what the candidates think, and less about what you all think, please.",1,"Politics"
"18","Beware!",2019-04-01,"vtpod","I love this podcast, BUT last week’s Update showed that even this podcast and the usually excellent Dominico Montanaro are just as susceptible as the rest of the media to Establishment brainwashing. BERNIE SANDERS is the front runner in the Democratic primary... fundraising, volunteer hours, polls; you name it, he leads it. So why does Montanaro dismiss him as a front runner? Undeclared Biden and Beto (seriously)?!? When reminded of Sanders, Montanaro musters a ‘oh, yeah, right.’ WHAT IS GOING ON?!? Since when do YOU get to determine reality rather than report on it? NPR is my last hope media-wise; PLEASE DON’T LET ME DOWN.",5,"Politics"
"19","ML has got to go!",2019-04-05,"nevagain","Generally good summary of current politics but Mara Liasson needs to go back to Fox News where she belongs. I delete any version once I hear that she is on it.",3,"Politics"
"20","Love Mara Liasson, Hated Tasteless Reference to Nipsey Hussle",2019-04-05,"Mjen808","Generally like the show, so I don’t want to blow my review completely on one tasteless moment in one episode, BUT...The intention seemed sincere to honor Nipsey Hussle’s legacy in the Can’t Let It Go section, but the delivery was extremely poor, in my opinion. Fast forward through the fact he was murdered, then take up most of your time laughing about his name? Disrespectful.",3,"Politics"
