Title,Date,User,Body,Rating
Great reporting,04/22/2019,HermJr,"I listen to this and another big morning news poscast, and I love how Up First covers slightly different topics, or has different angles and information than the other podcast. I get a great mix of news that keeps me informed without bumming me out.",5
Loss of neutrality,04/08/2019,LastSonofB,"This podcast was a great way to get a briefing of the top stories. I liked it for the neutrality of telling the news that I know NPR for. In the last half year it’s become like every other news source with biased host opinions. Going to look for a new source if the hosts don’t stop putting in their opinions. I want news, not an opinion piece.",3
Great podcast.,04/09/2019,mh2019!!!,So good!,5
👌👌👌(chefs kiss),04/09/2019,richbeeiusgs,👌👌👌,5
Olivia Doodle,04/09/2019,Davida 210,LOVE this podcast. I listen everyday. Gives me a great overview of the current news issues. Don’t miss out!,5
Excellent news summary; presented in transparent tones,04/09/2019,eeliza,"Just the right amount of daily news for me. High quality content. I agree with other reviewers that the hosts’ political leanings are often audible in their tones of voice and wry humor, especially about the US president. I am a listener who tends to share the hosts’ perspectives. I don’t think that their preferences reduce the quality of content; it’s not an analysis program. However, I do think that expressing their preferences reduces quality of delivery. The show would serve all of us better if the hosts expressed less in response to the news they present.",5
Great podcast,04/09/2019,Ferlene,I appreciate the short format and absolutely love their Alexa version.,5
Great Show,04/09/2019,Keith Waddell,This is great show. It gets me up to date on news and that’s it. No bias. Just news. Love it!,5
Like regular Morning Edition but biased,04/10/2019,elegantplatypus,"I love NPR and particularly like the NPR One app. Despite what many people say I don’t find NPR’s normal programming very biased, but in this podcast the commentators, particularly Steve Inskeep, really let their personal (and universally left-leaning) opinions mix with the reporting. It must be intentional, because sometimes I’ll listen to this podcast early in the morning and hear the same story later on Morning Edition and the reporting will be totally different. Really wish the professionalism was present in Up First.",3
Quick Roundup,04/10/2019,geneocide,"For when you just want to know what the big news is, but you don't have time for the speculating and the ""update"" about how there's something happening we're just not sure what.",5
For those who serve overseas,04/11/2019,Kerrkween,My husband is an employee of the US Navy and we are living in Europe. I depend on Up First to keep me informed about what’s happening back in the States and around the world.,5
Left leaning..,04/11/2019,Jcchon,Liberal slant on news,2
