Title,Date,User,Body,Rating
Beware!,04/01/2019,vtpod,"I love this podcast, BUT last week’s Update showed that even this podcast and the usually excellent Dominico Montanaro are just as susceptible as the rest of the media to Establishment brainwashing. BERNIE SANDERS is the front runner in the Democratic primary... fundraising, volunteer hours, polls; you name it, he leads it. So why does Montanaro dismiss him as a front runner? Undeclared Biden and Beto (seriously)?!? When reminded of Sanders, Montanaro musters a ‘oh, yeah, right.’ WHAT IS GOING ON?!? Since when do YOU get to determine reality rather than report on it? NPR is my last hope media-wise; PLEASE DON’T LET ME DOWN.",5
ML has got to go!,04/05/2019,nevagain,Generally good summary of current politics but Mara Liasson needs to go back to Fox News where she belongs. I delete any version once I hear that she is on it.,3
"Love Mara Liasson, Hated Tasteless Reference to Nipsey Hussle",04/05/2019,Mjen808,"Generally like the show, so I don’t want to blow my review completely on one tasteless moment in one episode, BUT...The intention seemed sincere to honor Nipsey Hussle’s legacy in the Can’t Let It Go section, but the delivery was extremely poor, in my opinion. Fast forward through the fact he was murdered, then take up most of your time laughing about his name? Disrespectful.",3
"Short and sweet, but lacks",04/08/2019,Norwich115,"Good morning all!

I don’t usually leave reviews, but I’m making some changes in how I do things, so I thought I might share why I rated this podcast a 3 star.",3
Good standby to keep up on what’s going on...,04/09/2019,lizpey,"This bi-weekly podcast covers up-to-date information in the US politics realm. Coverage is a bit superficial if you're a policy nerd, but more than sufficient for anyone wanting learn a little bit more than solely scanning the headlines. The commentary and analysis is unbiased, in my opinion, but one is welcome to take it as they want. It does a good job of keeping things light hearted with the Can't Let Go segment every Thursday. I enjoy listening, have for a few years, and will continue to into the future.",4
Can’t Let It Go,04/10/2019,IBeckySue,I learn a lot by listening to this podcast. One thing I look forward to every week is “Can’t Let It Go”. I often follow up with those items as they are pertinent and interesting! Thanks y’all!,5
Political news brief,04/10/2019,geneocide,"Just what you need to know, with relatively little in the way of puditry and mistakes.",5
Love it!,04/10/2019,DeanMatt,"A smart and engaging podcast that doesn’t take itself too seriously. The conversation is quick and insightful and, best of all, it is fun to listen to. The hosts and guests know their stuff. I am always excited to see a new episode pop up in my feed.",5
"Women's voices, younger voices",04/11/2019,Carolsummit,It is good to hear intelligent analysts who are younger than 40. Makes NPR less male and less stodgy.More Iaisha Tyler and quit interrupting her.,5
One of my go-to podcasts,04/12/2019,LelaNoell,Informative and entertaining. Thanks for helping me keep up!,5
Listen Liberal,04/16/2019,MedStudent11431,"Domenico Montanaro, NPR's lead political editor and host of this podcast has an obvious affinity for the Neoliberal wing of the Democratic Party which is in full view on this podcast. The NPR Politics podcast gives the listener a window on the personal biases that seep into NPR’s political coverage (I suspect via Montanaro).",1
